"source_term","chosen_arabic","status","adverse_or_rejected","aliases_or_notes","domain_or_context","review_status","review_date","reviewer","evidence_or_rationale"
"% Chapter: axiomatic-proofs","% Chapter: axiomatic-deduction","source_wrong_metadata_chapter_transparently_corrected_olp0125","الإبقاء على اسم فصل غير موجود؛ تغيير Part أو Section؛ حذف بيانات الرأس","مسار الملف ومعرفه axd والمستورد الأب كلها تضعه في فصل axiomatic-deduction، لا axiomatic-proofs","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/axiomatic-deduction/identity.tex lines 1--3, especially line 2; OLP-0125","confidence 1.00; path, olfileid and chapter driver independently replayed; smallest upstream fix is the metadata chapter value; corrected in Arabic target","2026-08-14","Codex source replay","تغير تعليق Chapter وحده ولم تمس أي بنية تنفيذية"
"The definition ... remains the same, we just also allow the new axioms","The definition ... remains the same; we just also allow the new axioms","source_comma_splice_transparently_corrected_olp0125","الإبقاء على وصل جملتين مستقلتين بفاصلة؛ دمجهما سببيًا؛ تغيير مضمون التعريف","يجمع المنبع جملتين مستقلتين بفاصلة، والفاصلة المنقوطة هي أصغر تصحيح يحفظ العلاقة التفسيرية","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/axiomatic-deduction/identity.tex lines 13--15; OLP-0125","confidence high 0.99; clause independence and local prose independently replayed; smallest upstream fix is comma to semicolon; normalized in Arabic","2026-08-14","Codex source replay","استعملت العربية فاصلة منقوطة وحفظت تعريف الاشتقاق والبديهيات الجديدة"
"identity propositions quantify any term $t$ and leave $t_1,t_2$ unrestricted","require $t$, $t_1$, and $t_2$ to be closed terms","source_identity_closed_term_scope_transparently_corrected_olp0125","الإبقاء على حدود مفتوحة مع بديهيات مقيدة؛ تعميم بديهيات الهوية؛ تغيير نتيجتي القضيتين","بديهيتا الهوية في التعريف السابق مقيدتان صراحة بالحدود المغلقة، والبرهانان يستعملان حالتين منهما؛ فيجب نقل القيد إلى القضيتين","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/axiomatic-deduction/identity.tex lines 17--24 and 38--52, especially lines 39 and 43--44; OLP-0125","confidence 1.00; axiom scope and both instantiations independently replayed; smallest upstream fix is closed in iden1 and one shared closed-term condition for iden2; corrected in Arabic","2026-08-14","Codex source replay","قيدت الحدود الثلاثة بالإغلاق من غير تغيير صيغ الهوية أو تطبيقي MP"
"mis-scoped FOL/PL carrier in the model-existence question, leaving the FOL rendering without `with $\Sat{M}{\Gamma}$`","close the carrier gate after the structure/valuation and retain the satisfaction clause in both renderings","source_misscoped_carrier_gate_transparently_corrected_olp0127","الإبقاء على عبارة الإرضاء داخل فرع PL وحده؛ حذف سؤال وجود النموذج؛ نقل الصيغة الدلالية إلى فرع FOL وحده","القوس الخارجي في المنبع يغلق بعد عبارة with، فتدخل العبارة كلها في فرع PL بينما لا يبقى في فرع FOL إلا اسم البنية؛ والصيغة المقصودة هي وجود حامل دلالي يرضي Gamma في الفرعين","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/completeness/introduction.tex lines 24--32, especially lines 29--31; OLP-0127","confidence 1.00; brace scope and both tag renderings independently replayed; smallest upstream fix is moving one closing brace before with; corrected in Arabic target","2026-08-14","Codex source replay","أغلقت بوابة structure/valuation قبل فعل الإرضاء، وبقيت صيغة Gamma نفسها مشتركة بين الفرعين"
"the shared FOL/PL introduction says the proof constructs only !!a{structure}","construct \iftag{FOL}{!!a{structure}}{!!a{valuation}}","source_structure_valuation_cross_tag_transparently_corrected_olp0127","الإبقاء على structure في فرع PL؛ حذف حامل البناء؛ قلب الفرعين","البناء في FOL ينتج بنية، أما نظيره في PL فينتج تقييمًا؛ والملف مشترك كما يبين olfileid المزدوج والبوابات المحيطة","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/completeness/introduction.tex lines 59--67, especially lines 62--65; OLP-0127","confidence 1.00; dual locale file identifiers and adjacent construction terminology independently replayed; one carrier iftag added","2026-08-14","Codex source replay","استعملت العربية بوابة structure/valuation واحدة من غير تغيير خاصية الاتساق أو الإرضاء"
"use the \emph{the proof of} the completeness theorem","use \emph{the proof of} the completeness theorem","source_duplicate_article_transparently_normalized_olp0127","محاكاة تكرار the في العربية؛ حذف الإحالة إلى البرهان؛ تغيير علاقة البرهان بالتراص","تكرر أداة التعريف الإنجليزية قبل العبارة المؤكدة وداخلها، وهو تكرار طباعي محض؛ العربية صاغت برهان المبرهنة مرة واحدة","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/completeness/introduction.tex lines 59--63, especially line 61; OLP-0127","confidence 1.00; local grammar independently replayed; smallest upstream fix is deletion of the first the","2026-08-14","Codex source replay","حذفت العربية التكرار وحده وحفظت التشديد على البرهان"
"condition (b) ranges only over every possible atomic !!{sentence}, and later hard-codes sentences in the shared FOL/PL outline","condition (b) ranges over every \iftag{FOL}{!!{sentence}}{!!{formula}}, with the later carriers gated the same way","source_completeness_condition_scope_and_cross_tag_transparently_corrected_olp0128","الإبقاء على الجمل الذرية وحدها؛ جعل Gamma* كاملة ذريًا فقط؛ إبقاء sentence في فرع PL؛ تغيير الشرطين (أ) أو (ج)","تعريف المجموعة الكاملة يتطلب لكل جملة أو صيغة إما هي أو نفيها، لا للذريات وحدها؛ كما أن الملف يقدّم برهان FOL وPL معًا، فتكون الحوامل جملًا في الأول وصيغًا في الثاني","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/completeness/outline.tex lines 60--80, especially lines 66--79; OLP-0128","confidence 1.00; subsequent completeness definition and dual-tag truth lemma independently replayed; atomic deleted and three carrier gates normalized","2026-08-14","Codex source replay","وسعت العربية الشرط (ب) إلى كل جملة أو صيغة وحفظت الشرطين الآخرين وعلاقة الاحتواء"
"Now let $!D_n$ be the !!{formula} after defining the $!D_n$ as sentences","Now let $!D_n$ be the !!{sentence}","source_henkin_carrier_formula_to_sentence_transparently_corrected_olp0130","الإبقاء على formula؛ تغيير مخطط D_n؛ حذف التكميم أو إحلال الثابت","كل A_n لا يرد فيها حرًا إلا x_n، وبإحلال c_n وإغلاق x_n تكون شرطية D_n جملة؛ كما يصرح التعريف قبل ذلك بأنه يعرف sentences D_n","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/completeness/henkin-expansions.tex lines 51--68, especially lines 56 and 64--67; OLP-0130","confidence 1.00; free-variable condition and preceding carrier declaration independently replayed; formula normalized to sentence","2026-08-14","Codex source replay","غيرت العربية اسم الحامل وحده وبقي مخطط هنكن كما هو"
"$\lforall[x_n][\lnot !A_n]$ in a derivation otherwise using $!A_n(x_n)$","$\lforall[x_n][\lnot !A_n(x_n)]$","source_missing_formula_argument_transparently_corrected_olp0130","الإبقاء على A_n بلا حجتها؛ حذف الكم؛ تغيير متغير الربط","الموضع يشرح الصيغة الناتجة من التعميم القوي على A_n(c_n)، وكل المواضع المتوازية تستعمل A_n(x_n)؛ لذلك فقدت الحجة في هذا الموضع وحده","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/completeness/henkin-expansions.tex lines 119--144, especially line 141; OLP-0130","confidence 1.00; strong-generalization premise and parallel branch independently replayed; inserted `(x_n)` only","2026-08-14","Codex source replay","أضيفت الحجة x_n وحدها ولم يتغير الكم أو النفي"
"the existential-instance property in the explanatory paragraph is gated by `prvAll`","gate the existential-instance property by `prvEx`","source_wrong_existential_tag_transparently_corrected_olp0130","الإبقاء على الخاصية الوجودية تحت وسم الكل؛ حذف الخاصية؛ تبديل نص الوجود والكل","العبارة تقول صراحة existentially quantified وتطابق بند prvEx في القضية التالية، بينما العبارة السابقة وحدها هي الخاصة بـprvAll","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/completeness/henkin-expansions.tex lines 149--167, especially lines 151--155; OLP-0130","confidence 1.00; following tagenumerate labels independently replayed; smallest upstream fix is prvAll to prvEx","2026-08-14","Codex source replay","تغير اسم الوسم وحده وبقي وصف الحالة الوجودية كما هو"
"choose the largest stage index for every finite $\Gamma'\subseteq\Gamma^*$ without handling $\Gamma'=\emptyset$","split off the empty subset as trivially consistent before choosing a largest index","source_empty_finite_subset_case_transparently_completed_olp0131","اختيار أكبر فهرس من مجموعة فارغة؛ حذف حجة الاتساق؛ افتراض عدم فراغ كل مجموعة جزئية منتهية","لا يوجد أكبر فهرس عندما تكون Gamma' فارغة، مع أن البرهان يكمم على جميع المجموعات الجزئية المنتهية؛ والحالة الفارغة متسقة بداهة ثم تعمل الحجة الأصلية للحالة غير الفارغة","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/completeness/lindenbaums-lemma.tex lines 76--91, especially lines 76--80; OLP-0131","confidence 1.00; finite-set case split independently replayed; one empty-case sentence added","2026-08-14","Codex source replay","أضيفت حالة المجموعة الفارغة فقط ثم حُفظ اختيار أكبر الفهارس والاحتواء"
"every $!B\in\Gamma'$ is also `$\in\Gamma_n$`","every $!B\in\Gamma'$ also satisfies `$!B\in\Gamma_n$`","source_detached_membership_subject_transparently_corrected_olp0131","الإبقاء على رمز عضوية بلا طرف أيسر؛ حذف نتيجة الاحتواء؛ تغيير Gamma_n","المقطع الرياضي في المنبع يبدأ بعلاقة العضوية من غير عنصر؛ والعنصر المقصود هو B نفسه من بداية الجملة، كما تؤكد الخلاصة Gamma' subset Gamma_n","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/completeness/lindenbaums-lemma.tex lines 76--82, especially lines 79--80; OLP-0131","confidence 1.00; sentence subject and following subset conclusion independently replayed; inserted !B only","2026-08-14","Codex source replay","أعيد B إلى قضية العضوية من غير تغيير الفهرس أو الاستنتاج"
"term-model value lemma and the quantified truth-lemma cases quantify unrestricted terms","restrict all three statements to closed terms","source_term_model_closed_term_scope_transparently_corrected_olp0132","الإبقاء على حدود مفتوحة مع نموذج مجاله حدود مغلقة؛ تعميم دالة القيمة بلا إسناد؛ حذف حالتي الكم","مجال نموذج الحدود معرف بأنه مجموعة الحدود المغلقة، وقضية prop:quant-termmodel مقيدة بها؛ لذا لا تثبت الحجج اللاحقة إلا للحدود المغلقة","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/completeness/construction-of-model.tex lines 75--96 and 238--257, especially lines 80, 243--245, and 253--255; OLP-0132","confidence 1.00; domain definition and quantified-instance proposition independently replayed; closed inserted at each carrier","2026-08-14","Codex source replay","قيدت العربية الحد في اللمّة وحالتي الكل والوجود بالإغلاق ولم تغير صيغ الإرضاء"
"the universal truth-lemma case for $\lforall[x][!B(x)]$ concludes `$\lforall[x][!A(x)]\in\Gamma^*$`","conclude `$\lforall[x][!B(x)]\in\Gamma^*$`","source_truth_lemma_metavariable_mismatch_transparently_corrected_olp0132","الإبقاء على A بدل B؛ تغيير حالة الاستقراء؛ حذف النتيجة","الحالة الجارية تعرف A بوصفها الصيغة المركبة forall x B(x)، ولذلك يجب أن تعود نتيجة العضوية إلى نفس B التي استعملتها جميع حلقات التكافؤ السابقة","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/completeness/construction-of-model.tex lines 238--247, especially line 247; OLP-0132","confidence 1.00; induction carrier and existential parallel case independently replayed; A changed to B only","2026-08-14","Codex source replay","صححت العربية اسم المتغير الصيغي وحده وحفظت الكم والعضوية"
"the quotient definitions use all $\Trm[L]$ although $\approx$ is defined only on closed terms","use $\Trm[L]_0$, the set of closed terms, throughout the equivalence classes, domain, and representative discussion","source_quotient_closed_term_domain_transparently_corrected_olp0133","الإبقاء على أصناف لعناصر خارج مجال العلاقة؛ توسيع approx إلى الحدود المفتوحة؛ تغيير مجال النموذج","تعريف approx السابق يقيده بالحدود المغلقة، ونموذج الحدود نفسه مجاله الحدود المغلقة؛ لذلك لا تعرف خارج القسمة على Trm[L] كلها","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/completeness/identity.tex lines 26--33 and 86--132, especially lines 91--93, 102, and 116; OLP-0133","confidence 1.00; relation domain and term-model domain independently replayed; every quotient carrier restricted to Trm[L]_0","2026-08-14","Codex source replay","عرّفت العربية الرمز Trm[L]_0 مرة واستعملته في الأصناف والمجال وشرح الممثلين"
"function congruence display contains `t_{i+1},,\dots`","use `t_{i+1},\dots`","source_duplicate_comma_in_formula_transparently_corrected_olp0133","الإبقاء على فاصلتين داخل قائمة الحجج؛ حذف حجة؛ تغيير ترتيب الحدود","الفاصلة الثانية زائدة طباعيًا في قائمة موازية تمامًا للقائمة في الطرف الآخر ولصيغة القضية السابقة","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/completeness/identity.tex lines 66--72, especially line 69; OLP-0133","confidence 1.00; paired argument lists independently replayed; one comma deleted","2026-08-14","Codex source replay","حذفت العربية الفاصلة المكررة وحدها"
"well-definedness assumes `$t_i\approx t_i'$` without quantifying the index","require `$t_i\approx t_i'$` for every `$1\le i\le n$`","source_missing_index_quantifier_transparently_corrected_olp0133","الإبقاء على i حرًا؛ حذف شرط التكافؤ؛ تغيير عدد الحجج","النتيجتان تقارنان قائمتي n من الممثلين، وبرهان الاستقراء يحتاج تكافؤ كل زوج مناظر؛ لذا يجب تقييد i بجميع الفهارس","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/completeness/identity.tex lines 135--152, especially lines 136--139; OLP-0133","confidence 1.00; two n-ary conclusions and induction proof independently replayed; index range added","2026-08-14","Codex source replay","أضافت العربية الكم على الفهرس وحده وبقي الشرطان الناتجان كما هما"
"factored term-model value lemma leaves $t$ unrestricted","state the equality for every closed term $t$","source_factored_value_lemma_closed_term_scope_transparently_corrected_olp0133","الإبقاء على حد مفتوح بلا إسناد؛ تعميم قيمة النموذج؛ حذف اللمّة","مجال خارج نموذج الحدود أصناف الحدود المغلقة، واللمّة تحيل إلى نظيرتها في نموذج الحدود المقيدة بها؛ لذا يلزم القيد نفسه","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/completeness/identity.tex lines 159--168, especially lines 162--165; OLP-0133","confidence 1.00; quotient domain and cited lemma independently replayed; closed-term qualifier added","2026-08-14","Codex source replay","قيدت العربية t بالإغلاق من غير تغيير مساواة القيمة"
"the uncovered-model example ranges over arbitrary terms and calls the expanded model itself uncovered","range over closed terms of the original language and take the reduct of the expanded model to that language","source_uncovered_model_closed_terms_and_reduct_transparently_corrected_olp0135","الإبقاء على حدود مفتوحة بلا إسناد؛ اعتبار التوسيع غير مغطى مع أن الثابت الجديد يسمي العنصر؛ حذف المثال","التغطية تعرف بواسطة الحدود المغلقة، والثابت c في اللغة الموسعة يعيّن العنصر المختار نفسه؛ فلا يظهر نموذج غير مغطى إلا بعد رد البنية إلى اللغة الأصلية التي لا تحتوي c","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/completeness/compactness.tex lines 90--121, especially lines 92--104 and 117--120; OLP-0135","confidence 1.00; covered-model definition and expansion/reduct semantics independently replayed; closed-term carrier and reduct made explicit","2026-08-14","Codex source replay","قيدت العربية Delta بالحدود المغلقة وصرحت برد كل نموذج إلى L، مع بقاء تفسير c شاهدًا على العنصر غير المسمى في الرد"
"choose the largest $n$ with `$!A_{\ge n}\in\Delta'$` for every finite $\Delta'$","if `$\Delta'=\emptyset$` set `$n=0$`; otherwise choose the largest such $n$","source_empty_delta_case_transparently_completed_olp0135","اختيار أكبر عنصر من مجموعة فارغة؛ افتراض احتواء Delta' جملة حجم؛ حذف برهان القابلية المنتهية","قد تكون Delta' فارغة لأن البرهان يكمم على كل المجموعات الجزئية المنتهية؛ وعندئذ يكفي n=0، أما في الحالة غير الفارغة فتعمل الحجة الأصلية","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/completeness/compactness.tex lines 184--195, especially lines 188--193; OLP-0135","confidence 1.00; finite-subset quantifier and size-sentence family independently replayed; empty case added","2026-08-14","Codex source replay","أضافت العربية فرع Delta' الفارغ وضبطت emptyset، ثم حفظت اختيار أكبر n للحالة الأخرى"
"the direct compactness proof constructs only the ordinary term model and invokes a truth lemma that excludes identity","when `$\eq$` occurs, factor the closed-term model by `$\approx$`, establish congruence from finite satisfiability, and use the identity case of the quotient truth lemma","source_direct_compactness_identity_case_transparently_completed_olp0136","تقييد المبرهنة خفية باللغات الخالية من الهوية؛ استعمال نموذج الحدود العادي مع جمل مساواة؛ حذف اتجاه التراص","لمّة الصدق المستشهد بها تستبعد eq صراحة، في حين تصاغ مبرهنة التراص لكل FOL؛ وتعيد القابلية المنتهية جميع خصائص التكافؤ والتوافق دلاليًا لأن أي إخفاق تشهد عليه مجموعة منتهية غير قابلة للإرضاء","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/completeness/compactness-direct.tex lines 115--143; cross-check identity.tex lines 26--186; OLP-0136","confidence 1.00; truth-lemma scope and quotient construction independently replayed; one gated identity paragraph added","2026-08-14","Codex source replay","أبقت العربية البرهان الأصلي للحالة الخالية من الهوية وأضافت خارج القسمة وحالة لمّة الصدق عند حضور eq"
"the replacement reference `$\olref{prop:fsat-ccs}` lies inside the FOL-only branch","retain the ccs-to-fsat-ccs replacement in both renderings and gate only the additional Henkin replacement","source_pl_replacement_reference_tag_scope_transparently_corrected_olp0136","إسقاط مرجع fsat-ccs من فرع PL؛ نقل مرجع Henkin إلى PL؛ حذف تعليمات الاستبدال","فرع PL يحتاج استبدال prop:ccs بـprop:fsat-ccs مثل FOL، ولا يختلف الفرعان إلا في نتيجة الحالات المكممة الخاصة بـFOL","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/completeness/compactness-direct.tex lines 139--143; OLP-0136","confidence 1.00; preceding PL exercise and gated quantifier lemmas independently replayed; iftag boundary moved after fsat-ccs","2026-08-14","Codex source replay","أبقت العربية إحالة الاستبدال الأولى مشتركة وقيدت إحالة الإشباع وحدها بـFOL"
"the downward L\"owenheim--Skolem proofs bound the model by terms of `$\Lang L$` or all `$\Trm[L']$` and omit the reduct","use closed terms `$\Trm[L']_0$` of the Henkin expansion and then take the reduct to the original language","source_downward_ls_henkin_closed_terms_and_reduct_transparently_corrected_olp0137","الإبقاء على L بدل L'؛ عد الحدود المفتوحة عناصر للمجال؛ اعتبار بنية اللغة الموسعة نموذجًا في اللغة الأصلية بلا رد","برهان الاكتمال يضيف ثوابت هنكن في L' ويجعل المجال حدودها المغلقة أو خارجها؛ وللحصول على نموذج Gamma في L يلزم رد البنية مع بقاء المجال نفسه وعدده على الأكثر قابلًا للتعداد","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/completeness/downward-ls.tex lines 20--46, especially lines 27--30 and 41--45; OLP-0137","confidence 1.00; Henkin construction, quotient option, and reduct semantics independently replayed; both proofs corrected coherently","2026-08-14","Codex source replay","استعملت العربية Trm[L']_0 وصرحت بالرد إلى L في البرهانين من غير تغيير نتيجتي العدد"
"the entailment display has $\lforall[x][(!A(x) \lif !B(x)), \lexists[x][!A(x)] \Entails \lexists[x][!B(x)]]$, so the universal quantifier wrongly scopes over the comma and entailment","use $\lforall[x][(!A(x) \lif !B(x))], \lexists[x][!A(x)] \Entails \lexists[x][!B(x)]$","source_entailment_quantifier_bracket_scope_transparently_corrected_olp0140","الإبقاء على الاستلزام داخل نطاق الكمي الكلي؛ حذف مقدمة الوجود؛ تغيير جهة الاستلزام","قوس مصفوفة الكمي يجب أن يغلق بعد الشرطية، ثم تأتي فاصلة المقدمتين وعلاقة الاستلزام خارج الكمي؛ والقوس الأخير الزائد أثر من الإغلاق المؤجل","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/introduction/first-order-logic.tex lines 50--52; OLP-0140","confidence 1.00; formula grammar and immediately following ant/insect argument independently replayed; bracket moved only","2026-08-14","Codex source replay","أغلقت العربية الكمي بعد شرطية كل نملة حشرة، وأبقت المقدمتين والنتيجة واتجاه Entails كما هي"
"the two later argument descriptions use $\lforall[x][(!A(x) \lif !B(x))$ and $\lexists[x][!B(x)]]$","use $\lforall[x][(!A(x) \lif !B(x))]$ and $\lexists[x][!B(x)]$ in both descriptions","source_repeated_quantifier_bracket_misplacement_transparently_corrected_olp0140","الإبقاء على مصفوفة الكمي الكلي مفتوحة حتى نهاية النتيجة؛ حذف إحدى الصيغ؛ تغيير متغيرات A أو B","كل مقطع رياضي مستقل ويجب أن يغلق مصفوفة الكمي في موضعها؛ والقوس الزائد بعد صيغة النتيجة يقابل القوس المفقود في المقدمة","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/introduction/first-order-logic.tex lines 67--73 and 80--84; OLP-0140","confidence 1.00; both repeated premise/conclusion pairs and valid source occurrences independently replayed; two missing brackets inserted and two stray brackets removed","2026-08-14","Codex source replay","صححت العربية موضعي الوصف المتكررين مع إبقاء صيغ المقدمتين والنتيجة والدعوى المنطقية"
"the general semantic case says the !!{constant}s can have more than one place","the !!{predicate}s can have more than one place","source_wrong_arity_bearer_transparently_corrected_olp0143","الإبقاء على ثوابت متعددة المحال؛ حذف تنبيه الرتبة؛ نقل التعدد إلى الدوال وحدها","الثابت يعيّن عنصرًا واحدًا، أما المحمول فقد يكون أحادي المحل أو متعدد المحال؛ وهذا ما تعممه اللغة بعد المثال ذي المحمول الأحادي P","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/introduction/satisfaction.tex lines 20--25, especially line 24; OLP-0143","confidence 1.00; preceding unary interpretation and standard first-order signature arities independently replayed; constant changed to predicate only","2026-08-14","Codex source replay","نسبت العربية تعدد المحال إلى المحمولات، وأبقت كثرة الثوابت ووجود الدوال كما وردا"
"after setting $\Domain{M}=\{0,1,2\}$, the assignment example says values are one of $1$, $2$, or $3$","say one of $0$, $1$, or $2$","source_domain_example_value_mismatch_transparently_corrected_olp0143","الإبقاء على 3 خارج المجال؛ تغيير المجال نفسه؛ حذف مثال الإسناد","إسناد المتغير دالة إلى عناصر المجال المحدد قبل أسطر، ولذلك يجب أن تكون قائمة القيم هي عناصر المجموعة 0 و1 و2 نفسها","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/introduction/satisfaction.tex lines 42--46 and 58--64; OLP-0143","confidence 1.00; explicit domain and later assignment definition independently replayed; 3 changed to 0 only","2026-08-14","Codex source replay","صححت العربية قائمة القيم إلى 0 و1 و2 من غير تغيير الدالة أو المجال"
"the universal premise is written $\lforall[\Obj v_0][\Atom{\Obj P}]{\Obj v_0}$, leaving the atom argument outside the quantifier matrix","use $\lforall[\Obj v_0][\Atom{\Obj P}{\Obj v_0}]$","source_malformed_universal_atom_arguments_transparently_corrected_olp0146","الإبقاء على حجة المحمول خارج مصفوفة الكمي؛ حذف الحجة؛ تغيير المحمول أو المتغير","ماكرو Atom يأخذ المحمول ثم الحد حجة ثانية، وتجب إحاطة الذرة المكتملة بقوسي مصفوفة lforall؛ كما تؤكد الصيغة النثرية التالية forall x A(x)","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/introduction/substitution.tex lines 13--20, especially lines 16--17; OLP-0146","confidence 1.00; macro topology and following general schema independently replayed; braces and closing bracket repositioned only","2026-08-14","Codex source replay","وضعت العربية v_0 حجة ثانية للمحمول داخل مصفوفة الكمي، وحفظت مثال الاستنتاج"
"the characterization question says sentences characterize structures because they, and only they, are true in them","say the sentences are true in those structures and in only those structures","source_characterization_pronoun_scope_transparently_corrected_olp0147","الإبقاء على قراءة أن الجمل وحدها هي الصادقة في البنى؛ حذف شرط الحصر؛ قلب جهة التمييز","تمييز فئة من البنى بجمل يعني أن تلك البنى وحدها تحقق الجمل؛ ولا يعني أن الجمل المميزة هي الجمل الوحيدة الصادقة داخل كل بنية","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/introduction/models-theories.tex lines 21--26, especially lines 23--25; OLP-0147","confidence high 0.99; model-theoretic definition and adjacent axiomatic-method explanation independently replayed; Arabic pronoun scope disambiguated","2026-08-14","Codex source replay","صاغت العربية أن الجمل تصدق في البنى المقصودة وفيها وحدها، مع إبقاء سؤال قابلية التمييز"
"Other systems will chose different symbols","Other systems will choose different symbols","source_typo_chose_choose_transparently_corrected_olp0150","محاكاة الخطأ التصريفي في العربية؛ حذف اختلاف الرموز؛ تغيير زمن الجملة","بعد الفعل المساعد will يلزم المصدر choose، أما chose فصيغة الماضي؛ وهو خطأ هجائي تصريفي محض","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/syntax-and-semantics/intro-syntax.tex lines 20--24, especially line 22; OLP-0150","confidence 1.00; English grammar and parallel will select/will use clauses independently replayed; normalized in Arabic","2026-08-14","Codex source replay","استعملت العربية صيغة المستقبل السليمة ولم تغير تعداد الرموز والروابط والأقواس"
"four occurrences of `!!{denumerable}s set`","`!!{denumerable} set`","source_denumerable_token_plural_duplication_transparently_corrected_olp0151","الإبقاء على علامة الجمع بعد المصطلح ثم إبقاء الاسم المفرد؛ حذف خاصية القابلية للتعداد","اللاحقة s زائدة قبل الاسم المفرد set في المواضع الأربعة، وماكرو المصطلح نفسه يضبط الصيغة","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/syntax-and-semantics/first-order-languages.tex lines 49, 55, 57, 59; OLP-0151","confidence 1.00; repeated English agreement and token-macro use independently replayed; four suffixes removed","2026-08-14","Codex source replay","حذفت العربية لاحقة s الأربع وأبقت مجموعة الرموز القابلة للتعداد في كل بند"
"the final inner `\\iftag{defTrue}` closes without an empty false branch and consumes the outer close","close the inner tag as `...}{}%` and the outer tag as `}{}.`","source_nested_iftag_false_branch_scope_transparently_corrected_olp0151","الإبقاء على فرع defTrue غير مكتمل؛ إسقاط الفرع الكاذب للوسم الخارجي؛ حذف القائمة","كل استدعاء iftag يحتاج وسيطي الفرعين، وكان القوس الأخير منسوبًا إلى الاستدعاء الخطأ","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/syntax-and-semantics/first-order-languages.tex lines 91--104; OLP-0151","confidence 1.00; nested macro arities and neighboring iftag calls independently replayed; only closing scope repaired","2026-08-14","Codex source replay","أغلقت العربية فرع defTrue ثم أضافت الفرع الخالي للوسم الخارجي مع حفظ القائمة"
"the name `falsum,` is followed by another comma","retain a single comma after `falsum`","source_duplicate_comma_transparently_corrected_olp0151","إظهار فاصلتين متتاليتين؛ حذف الاسم؛ تغيير قائمة أسماء falsity","الفاصلة داخل الاقتباس تتكرر مباشرة بعده ولا تحمل وظيفة تركيبية ثانية","commit 9620cc73f9c8e0ad003c514a5d3748f29611c4c0; pinned content/first-order-logic/syntax-and-semantics/first-order-languages.tex lines 129--130; OLP-0151","confidence 1.00; punctuation locally replayed; duplicate removed in Arabic prose","2026-08-14","Codex source replay","صاغت العربية قائمة الأسماء بفواصل مفردة"
